cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
IOME2334289A,59002,Abscon,,Sécheresse,2022-03-31,2022-09-29,2023-12-18,2023-12-26,
INTE1630434A,59003,Aibes,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
INTE1824833A,59003,Aibes,54.0,Inondations et/ou coulées de boue,2018-06-06,2018-06-07,2018-09-17,2018-10-20,2022-05-24
IOME2220202A,59003,Aibes,54.0,Inondations et/ou coulées de boue,2022-06-04,2022-06-04,2022-07-11,2022-07-27,
INTE2114775A,59004,Aix-en-pévèle,59.0,Sécheresse,2019-07-01,2019-09-30,2021-05-18,2021-06-06,2022-05-24
INTE2118485A,59004,Aix-en-pévèle,59.0,Sécheresse,2020-04-01,2020-09-30,2021-06-22,2021-07-09,2022-05-24
IOME2324730A,59008,Aniche,59.0,Sécheresse,2022-03-31,2022-09-29,2023-09-18,2023-10-19,
INTE0200700A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,2002-08-19,2002-08-20,2003-01-17,2003-01-24,2022-05-24
INTE0500890A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,2005-07-03,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE2127289A,59009,Villeneuve-d'ascq,59.0,Sécheresse,2020-04-01,2020-06-30,2021-09-14,2021-09-28,2022-05-24
INTE1527252A,59011,Annœullin,54.0,Inondations et/ou coulées de boue,2015-08-31,2015-08-31,2015-11-18,2015-11-19,2022-05-24
INTE1920338A,59012,Anor,59.0,Sécheresse,2018-07-01,2018-09-30,2019-07-16,2019-08-09,2022-05-24
INTE2118485A,59012,Anor,59.0,Sécheresse,2020-04-01,2020-09-30,2021-06-22,2021-07-09,2022-05-24
INTE2122514A,59012,Anor,54.0,Inondations et/ou coulées de boue,2021-06-21,2021-06-22,2021-07-26,2021-08-01,2022-05-24
INTE2127287A,59012,Anor,54.0,Inondations et/ou coulées de boue,2021-07-14,2021-07-14,2021-09-13,2021-09-28,2022-05-24
IOCE1109178A,59012,Anor,54.0,Inondations et/ou coulées de boue,2010-11-12,2010-11-14,2011-03-30,2011-04-06,2022-05-24
IOCE1114093A,59012,Anor,54.0,Inondations et/ou coulées de boue,2011-01-07,2011-01-08,2011-05-23,2011-05-26,2022-05-24
INTE1625246A,59013,Anstaing,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-07,2016-09-16,2016-10-20,2022-05-24
IOCE1133767A,59014,Anzin,54.0,Inondations et/ou coulées de boue,2011-08-22,2011-08-23,2011-12-12,2011-12-15,2022-05-24
INTE1236522A,59016,Armbouts-cappel,59.0,Sécheresse,2011-04-01,2011-06-30,2012-10-18,2012-10-21,2022-05-24
IOME2308745A,59016,Armbouts-cappel,59.0,Sécheresse,2022-06-30,2022-09-29,2023-04-02,2023-05-02,
INTE0500890A,59017,Armentières,54.0,Inondations et/ou coulées de boue,2005-07-03,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE1238675A,59017,Armentières,54.0,Inondations et/ou coulées de boue,2012-03-04,2012-03-06,2012-11-06,2012-11-09,2022-05-24
INTE1240954A,59017,Armentières,54.0,Inondations et/ou coulées de boue,2012-07-05,2012-07-05,2012-11-30,2012-12-06,2022-05-24
IOCE0771383A,59017,Armentières,54.0,Inondations et/ou coulées de boue,2007-07-20,2007-07-20,2007-11-22,2007-11-25,2022-05-24
IOCE0823835A,59017,Armentières,54.0,Inondations et/ou coulées de boue,2008-05-15,2008-05-15,2008-10-07,2008-10-10,2022-05-24
