Code INSEE,Code Postal,Commune,Département,Région,Statut,Altitude Moyenne,Superficie,Population,geo_point_2d,geo_shape,ID Geofla,Code Commune,Code Canton,Code Arrondissement,Code Département,Code Région,geometry
62761,62128,SAINT-MARTIN-SUR-COJEUL,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],86.0,343.0,0.2,"50.22864782200462, 2.851919793535168","{""coordinates"": [[[2.862290324179924, 50.213235700696], [2.833793388983585, 50.23645730710271], [2.841916017371866, 50.24456730412856], [2.8475151267521923, 50.240497789493396], [2.864391011240598, 50.22307062149114], [2.873119094539496, 50.21969466037962], [2.862290324179924, 50.213235700696]]], ""type"": ""Polygon""}",18319,761,20,1,62,31,"POLYGON ((2.862290324179924 50.213235700696, 2.833793388983585 50.23645730710271, 2.841916017371866 50.24456730412856, 2.8475151267521923 50.240497789493396, 2.864391011240598 50.22307062149114, 2.873119094539496 50.21969466037962, 2.862290324179924 50.213235700696))"
62084,62810,BARLY,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],139.0,612.0,0.2,"50.24824623732699, 2.538465482918867","{""coordinates"": [[[2.543321212837012, 50.23184334216362], [2.5281168881205263, 50.23501861591053], [2.518542795385835, 50.24956408256779], [2.528214925668332, 50.25755713431622], [2.541896817460857, 50.26241263543021], [2.551860615032865, 50.26347290782432], [2.554198677739654, 50.26042848655031], [2.555281553184615, 50.25036670501827], [2.546147025974018, 50.23831002718377], [2.548149168159854, 50.235165607433956], [2.543321212837012, 50.23184334216362]]], ""type"": ""Polygon""}",28927,84,8,1,62,31,"POLYGON ((2.543321212837012 50.23184334216362, 2.5281168881205263 50.23501861591053, 2.518542795385835 50.24956408256779, 2.528214925668332 50.25755713431622, 2.541896817460857 50.26241263543021, 2.551860615032865 50.26347290782432, 2.554198677739654 50.26042848655031, 2.555281553184615 50.25036670501827, 2.546147025974018 50.23831002718377, 2.548149168159854 50.235165607433956, 2.543321212837012 50.23184334216362))"
59209,59127,ESNES,['NORD'],['NORD-PAS-DE-CALAIS'],['Commune simple'],109.0,1459.0,0.7000000000000001,"50.09538320006731, 3.308481027047275","{""coordinates"": [[[3.309682827668159, 50.05864592740468], [3.304074855449015, 50.07036272157574], [3.289065905408159, 50.06892606524442], [3.285320611386712, 50.112654757269404], [3.296722128544855, 50.115968598659244], [3.296416731527164, 50.118681531811205], [3.315840584996053, 50.113397304027984], [3.323245069388689, 50.11817378818441], [3.32847832864057, 50.117477361926895], [3.339310615266776, 50.0956422213569], [3.330740470038011, 50.08737605965295], [3.311780149176138, 50.08215374689855], [3.309682827668159, 50.05864592740468]]], ""type"": ""Polygon""}",30711,209,18,2,59,31,"POLYGON ((3.309682827668159 50.05864592740468, 3.304074855449015 50.07036272157574, 3.289065905408159 50.06892606524442, 3.285320611386712 50.112654757269404, 3.296722128544855 50.115968598659244, 3.296416731527164 50.118681531811205, 3.315840584996053 50.113397304027984, 3.323245069388689 50.11817378818441, 3.32847832864057 50.117477361926895, 3.339310615266776 50.0956422213569, 3.330740470038011 50.08737605965295, 3.311780149176138 50.08215374689855, 3.309682827668159 50.05864592740468))"
62621,62370,NORTKERQUE,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],9.0,1312.0,1.6,"50.87819722571735, 2.033110830610541","{""coordinates"": [[[2.062583120842825, 50.85973147861384], [2.052268557501944, 50.86768329924881], [2.026362692789018, 50.855479497213395], [2.01403622656936, 50.86671416147208], [2.009062434816986, 50.86730278510057], [2.000789306149161, 50.88682197473767], [2.035721937906559, 50.8956644266702], [2.048566936084048, 50.89901956425932], [2.051391228999437, 50.89970492911554], [2.061161629646818, 50.877296370119836], [2.056440882710738, 50.86821733699367], [2.063314451375058, 50.86306551204543], [2.062583120842825, 50.85973147861384]]], ""type"": ""Polygon""}",20458,621,6,5,62,31,"POLYGON ((2.062583120842825 50.85973147861384, 2.052268557501944 50.86768329924881, 2.026362692789018 50.855479497213395, 2.01403622656936 50.86671416147208, 2.009062434816986 50.86730278510057, 2.000789306149161 50.88682197473767, 2.035721937906559 50.8956644266702, 2.048566936084048 50.89901956425932, 2.051391228999437 50.89970492911554, 2.061161629646818 50.877296370119836, 2.056440882710738 50.86821733699367, 2.063314451375058 50.86306551204543, 2.062583120842825 50.85973147861384))"
59055,59360,BAZUEL,['NORD'],['NORD-PAS-DE-CALAIS'],['Commune simple'],144.0,1189.0,0.6000000000000001,"50.08160219773154, 3.595904230489245","{""coordinates"": [[[3.609498797911256, 50.05913916774663], [3.59910570440751, 50.06038493298421], [3.5760796539152473, 50.073428663430796], [3.572270692456739, 50.093331196135516], [3.579381171517924, 50.10228800630295], [3.6017616440827522, 50.10206358644054], [3.611534089709334, 50.08683697513428], [3.6240519113544742, 50.080873187506505], [3.615945139769881, 50.07301944365503], [3.617893511346526, 50.066839325301586], [3.609498797911256, 50.05913916774663]]], ""type"": ""Polygon""}",7932,55,17,2,59,31,"POLYGON ((3.609498797911256 50.05913916774663, 3.59910570440751 50.06038493298421, 3.5760796539152473 50.073428663430796, 3.572270692456739 50.093331196135516, 3.579381171517924 50.10228800630295, 3.6017616440827522 50.10206358644054, 3.611534089709334 50.08683697513428, 3.6240519113544742 50.080873187506505, 3.615945139769881 50.07301944365503, 3.617893511346526 50.066839325301586, 3.609498797911256 50.05913916774663))"
59066,59740,BERELLES,['NORD'],['NORD-PAS-DE-CALAIS'],['Commune simple'],209.0,572.0,0.2,"50.21367983252473, 4.105417037273971","{""coordinates"": [[[4.122704009146099, 50.19488136814297], [4.116539416243282, 50.200819815972054], [4.117141839817446, 50.20402940366761], [4.104911907499676, 50.209133033382635], [4.0914050031255424, 50.20704438911884], [4.080240073812687, 50.21368069757368], [4.08159636355892, 50.22017955578661], [4.102183808405881, 50.22460380672555], [4.122819784380799, 50.21968461095651], [4.127033634611707, 50.213431617557404], [4.120365882735862, 50.20492508450085], [4.127403016066265, 50.19606874291672], [4.122704009146099, 50.19488136814297]]], ""type"": ""Polygon""}",29749,66,59,1,59,31,"POLYGON ((4.122704009146099 50.19488136814297, 4.116539416243282 50.200819815972054, 4.117141839817446 50.20402940366761, 4.104911907499676 50.209133033382635, 4.0914050031255424 50.20704438911884, 4.080240073812687 50.21368069757368, 4.08159636355892 50.22017955578661, 4.102183808405881 50.22460380672555, 4.122819784380799 50.21968461095651, 4.127033634611707 50.213431617557404, 4.120365882735862 50.20492508450085, 4.127403016066265 50.19606874291672, 4.122704009146099 50.19488136814297))"
62268,62240,DESVRES,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Chef-lieu canton'],102.0,953.0,5.2,"50.674934462744055, 1.828793543480724","{""coordinates"": [[[1.870085082555797, 50.65626808447417], [1.8664164873087221, 50.65429607716359], [1.8522200727348221, 50.65587990788744], [1.817052396523256, 50.670807246558155], [1.803047074139125, 50.66707420355965], [1.795073921478574, 50.67037167227116], [1.794599797130783, 50.67305951571793], [1.8043983016807732, 50.67733641873794], [1.80909422236574, 50.68300863020551], [1.8068852479783781, 50.68917093853009], [1.8236136981454, 50.69574714421876], [1.8224094187309061, 50.69889473698621], [1.831129806403788, 50.6945705974894], [1.8391203619911032, 50.677764368835604], [1.8544077422753111, 50.663950557999456], [1.868712437078561, 50.659540391533056], [1.870085082555797, 50.65626808447417]]], ""type"": ""Polygon""}",20429,268,21,3,62,31,"POLYGON ((1.870085082555797 50.65626808447417, 1.8664164873087221 50.65429607716359, 1.8522200727348221 50.65587990788744, 1.817052396523256 50.670807246558155, 1.803047074139125 50.66707420355965, 1.795073921478574 50.67037167227116, 1.794599797130783 50.67305951571793, 1.8043983016807732 50.67733641873794, 1.80909422236574 50.68300863020551, 1.8068852479783781 50.68917093853009, 1.8236136981454 50.69574714421876, 1.8224094187309061 50.69889473698621, 1.831129806403788 50.6945705974894, 1.8391203619911032 50.677764368835604, 1.8544077422753111 50.663950557999456, 1.868712437078561 50.659540391533056, 1.870085082555797 50.65626808447417))"
62671,62860,PRONVILLE,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],79.0,618.0,0.3,"50.165884873067874, 3.008018748937529","{""coordinates"": [[[3.019176496054668, 50.153711442609584], [3.007826365587869, 50.14868371154872], [3.003745583690693, 50.15015667925376], [2.9947586607760472, 50.1532278912435], [2.99460271941761, 50.17386431840431], [3.013412497890599, 50.18593279452274], [3.014502909041302, 50.18421750692179], [3.022623008319123, 50.172012463131104], [3.018370220913839, 50.16584383809108], [3.021764736695285, 50.159512255587174], [3.019176496054668, 50.153711442609584]]], ""type"": ""Polygon""}",21944,671,35,1,62,31,"POLYGON ((3.019176496054668 50.153711442609584, 3.007826365587869 50.14868371154872, 3.003745583690693 50.15015667925376, 2.9947586607760472 50.1532278912435, 2.99460271941761 50.17386431840431, 3.013412497890599 50.18593279452274, 3.014502909041302 50.18421750692179, 3.022623008319123 50.172012463131104, 3.018370220913839 50.16584383809108, 3.021764736695285 50.159512255587174, 3.019176496054668 50.153711442609584))"
62055,62890,AUDREHEM,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],77.0,928.0,0.5,"50.771435657664156, 1.984516065863465","{""coordinates"": [[[1.97904435292471, 50.75160975714958], [1.9719196542114612, 50.754153404575135], [1.9562860863375071, 50.77192505728985], [1.9736097560313701, 50.77936420332473], [1.978980764913747, 50.78873129318387], [1.998898186411135, 50.788695556869925], [2.008364004629838, 50.78104557292374], [2.002546343988945, 50.76332206567936], [1.97904435292471, 50.75160975714958]]], ""type"": ""Polygon""}",29469,55,2,5,62,31,"POLYGON ((1.97904435292471 50.75160975714958, 1.9719196542114612 50.754153404575135, 1.9562860863375071 50.77192505728985, 1.9736097560313701 50.77936420332473, 1.978980764913747 50.78873129318387, 1.998898186411135 50.788695556869925, 2.008364004629838 50.78104557292374, 2.002546343988945 50.76332206567936, 1.97904435292471 50.75160975714958))"
59597,59554,TILLOY-LEZ-CAMBRAI,['NORD'],['NORD-PAS-DE-CALAIS'],['Commune simple'],68.0,335.0,0.6000000000000001,"50.20109488248733, 3.214295369742647","{""coordinates"": [[[3.207009909897006, 50.193778341533935], [3.198118163794546, 50.19856126440649], [3.203157139389591, 50.20972381372236], [3.227756462664352, 50.206708465791245], [3.2283998623506722, 50.20355539382811], [3.229350088145315, 50.194026069678145], [3.207009909897006, 50.193778341533935]]], ""type"": ""Polygon""}",27122,597,14,2,59,31,"POLYGON ((3.207009909897006 50.193778341533935, 3.198118163794546 50.19856126440649, 3.203157139389591 50.20972381372236, 3.227756462664352 50.206708465791245, 3.2283998623506722 50.20355539382811, 3.229350088145315 50.194026069678145, 3.207009909897006 50.193778341533935))"
