cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE9500497A,59001,Abancourt,54.0,Inondations et/ou coulées de boue,1995-07-10,1995-07-12,1995-09-28,1995-10-15,2022-05-20
INTE9900627A,59001,Abancourt,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE9200181A,59002,Abscon,54.0,Inondations et/ou coulées de boue,1991-07-07,1991-07-08,1992-04-01,1992-04-03,2022-05-20
INTE9900488A,59002,Abscon,54.0,Inondations et/ou coulées de boue,1999-07-07,1999-07-07,1999-11-29,1999-12-04,2022-05-23
INTE9900627A,59002,Abscon,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE1630434A,59003,Aibes,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
INTE1824833A,59003,Aibes,54.0,Inondations et/ou coulées de boue,2018-06-06,2018-06-07,2018-09-17,2018-10-20,2022-05-24
INTE9400004A,59003,Aibes,54.0,Inondations et/ou coulées de boue,1993-12-19,1994-01-02,1994-01-11,1994-01-15,2022-05-20
INTE9800324A,59003,Aibes,54.0,Inondations et/ou coulées de boue,1998-06-06,1998-06-06,1998-08-10,1998-08-22,2022-05-20
INTE9900627A,59003,Aibes,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOME2220202A,59003,Aibes,54.0,Inondations et/ou coulées de boue,2022-06-04,2022-06-04,2022-07-11,2022-07-27,
INTE9900627A,59004,Aix-en-pévèle,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
NOR19831005,59004,Aix-en-pévèle,54.0,Inondations et/ou coulées de boue,1983-06-21,1983-06-26,1983-10-05,1983-10-08,2022-05-20
INTE0000626A,59005,Allennes-les-marais,54.0,Inondations et/ou coulées de boue,2000-07-29,2000-07-29,2000-11-06,2000-11-22,2022-05-24
INTE9900627A,59005,Allennes-les-marais,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE9900627A,59006,Amfroipret,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE9900627A,59007,Anhiers,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE9200181A,59008,Aniche,54.0,Inondations et/ou coulées de boue,1990-01-01,1990-12-31,1992-04-01,1992-04-03,2022-05-20
INTE9200181A,59008,Aniche,54.0,Inondations et/ou coulées de boue,1991-07-06,1991-07-08,1992-04-01,1992-04-03,2022-05-20
INTE9900627A,59008,Aniche,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE0000626A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,2000-07-27,2000-07-27,2000-11-06,2000-11-22,2022-05-24
INTE0000626A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,2000-07-27,2000-07-27,2000-11-06,2000-11-22,2022-05-24
INTE0000626A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,2000-07-29,2000-07-29,2000-11-06,2000-11-22,2022-05-24
INTE0000626A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,2000-07-29,2000-07-29,2000-11-06,2000-11-22,2022-05-24
INTE0100107A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,2000-09-15,2000-09-15,2001-03-06,2001-03-23,2022-05-24
INTE0200700A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,2002-08-19,2002-08-20,2003-01-17,2003-01-24,2022-05-24
INTE0500890A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,2005-07-03,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE9200181A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,1991-07-06,1991-07-08,1992-04-01,1992-04-03,2022-05-20
INTE9800324A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,1998-06-06,1998-06-06,1998-08-10,1998-08-22,2022-05-20
INTE9800356A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,1998-08-01,1998-08-01,1998-09-18,1998-10-03,2022-05-20
INTE9900488A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,1999-07-07,1999-07-07,1999-11-29,1999-12-04,2022-05-23
INTE9900627A,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
NOR19831005,59009,Villeneuve-d'ascq,54.0,Inondations et/ou coulées de boue,1983-06-21,1983-06-26,1983-10-05,1983-10-08,2022-05-20
