cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
IOME2334289A,59002,Abscon,,Sécheresse,2022-03-31,2022-09-29,2023-12-18,2023-12-26,
INTE2114775A,59004,Aix-en-pévèle,59.0,Sécheresse,2019-07-01,2019-09-30,2021-05-18,2021-06-06,2022-05-24
INTE2118485A,59004,Aix-en-pévèle,59.0,Sécheresse,2020-04-01,2020-09-30,2021-06-22,2021-07-09,2022-05-24
INTE9200181A,59008,Aniche,59.0,Sécheresse,1990-01-01,1990-12-31,1992-04-01,1992-04-03,2022-05-20
INTE9200181A,59008,Aniche,59.0,Sécheresse,1991-07-06,1991-07-08,1992-04-01,1992-04-03,2022-05-20
IOME2324730A,59008,Aniche,59.0,Sécheresse,2022-03-31,2022-09-29,2023-09-18,2023-10-19,
INTE2127289A,59009,Villeneuve-d'ascq,59.0,Sécheresse,2020-04-01,2020-06-30,2021-09-14,2021-09-28,2022-05-24
INTE9100177A,59009,Villeneuve-d'ascq,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9800067A,59009,Villeneuve-d'ascq,59.0,Sécheresse,1991-01-01,1997-07-31,1998-03-12,1998-03-28,2022-05-20
INTE1920338A,59012,Anor,59.0,Sécheresse,2018-07-01,2018-09-30,2019-07-16,2019-08-09,2022-05-24
INTE2118485A,59012,Anor,59.0,Sécheresse,2020-04-01,2020-09-30,2021-06-22,2021-07-09,2022-05-24
INTE0300095A,59014,Anzin,59.0,Sécheresse,1996-01-01,1996-12-31,2003-02-24,2003-03-09,2022-05-24
INTE1236522A,59016,Armbouts-cappel,59.0,Sécheresse,2011-04-01,2011-06-30,2012-10-18,2012-10-21,2022-05-24
INTE9100177A,59016,Armbouts-cappel,59.0,Sécheresse,1989-06-01,1989-12-31,1991-03-28,1991-04-17,2022-05-20
